freq (Hz),Vline (V),Vout (V),"dB20((VF(""/Vout"") / VF(""/Vline""))) (dB)"
1.368,1.00E-02,1.31E-05,-57.67
1.371,1.00E-02,1.31E-05,-57.67
1.374,1.00E-02,1.31E-05,-57.67
1.377,1.00E-02,1.31E-05,-57.67
1.38,1.00E-02,1.31E-05,-57.67
1.384,1.00E-02,1.31E-05,-57.67
1.387,1.00E-02,1.31E-05,-57.67
1.39,1.00E-02,1.31E-05,-57.67
1.393,1.00E-02,1.31E-05,-57.67
1.396,1.00E-02,1.31E-05,-57.67
1.4,1.00E-02,1.31E-05,-57.67
1.403,1.00E-02,1.31E-05,-57.67
1.406,1.00E-02,1.31E-05,-57.67
1.409,1.00E-02,1.31E-05,-57.67
1.413,1.00E-02,1.31E-05,-57.67
1.416,1.00E-02,1.31E-05,-57.67
1.419,1.00E-02,1.31E-05,-57.67
1.422,1.00E-02,1.31E-05,-57.67
1.426,1.00E-02,1.31E-05,-57.67
1.429,1.00E-02,1.31E-05,-57.67
1.432,1.00E-02,1.31E-05,-57.67
1.435,1.00E-02,1.31E-05,-57.67
1.439,1.00E-02,1.31E-05,-57.67
1.442,1.00E-02,1.31E-05,-57.67
1.445,1.00E-02,1.31E-05,-57.67
1.449,1.00E-02,1.31E-05,-57.67
1.452,1.00E-02,1.31E-05,-57.67
1.455,1.00E-02,1.31E-05,-57.67
1.459,1.00E-02,1.31E-05,-57.67
1.462,1.00E-02,1.31E-05,-57.67
1.466,1.00E-02,1.31E-05,-57.67
1.469,1.00E-02,1.31E-05,-57.67
1.472,1.00E-02,1.31E-05,-57.67
1.476,1.00E-02,1.31E-05,-57.67
1.479,1.00E-02,1.31E-05,-57.67
1.483,1.00E-02,1.31E-05,-57.67
1.486,1.00E-02,1.31E-05,-57.67
1.489,1.00E-02,1.31E-05,-57.67
1.493,1.00E-02,1.31E-05,-57.67
1.496,1.00E-02,1.31E-05,-57.67
1.5,1.00E-02,1.31E-05,-57.67
1.503,1.00E-02,1.31E-05,-57.67
1.507,1.00E-02,1.31E-05,-57.67
1.51,1.00E-02,1.31E-05,-57.67
1.514,1.00E-02,1.31E-05,-57.67
1.517,1.00E-02,1.31E-05,-57.67
1.521,1.00E-02,1.31E-05,-57.67
1.524,1.00E-02,1.31E-05,-57.67
1.528,1.00E-02,1.31E-05,-57.67
1.531,1.00E-02,1.31E-05,-57.67
1.535,1.00E-02,1.31E-05,-57.67
1.538,1.00E-02,1.31E-05,-57.67
1.542,1.00E-02,1.31E-05,-57.67
1.545,1.00E-02,1.31E-05,-57.67
1.549,1.00E-02,1.31E-05,-57.67
1.552,1.00E-02,1.31E-05,-57.67
1.556,1.00E-02,1.31E-05,-57.67
1.56,1.00E-02,1.31E-05,-57.67
1.563,1.00E-02,1.31E-05,-57.67
1.567,1.00E-02,1.31E-05,-57.67
1.57,1.00E-02,1.31E-05,-57.67
1.574,1.00E-02,1.31E-05,-57.67
1.578,1.00E-02,1.31E-05,-57.67
1.581,1.00E-02,1.31E-05,-57.67
1.585,1.00E-02,1.31E-05,-57.67
1.589,1.00E-02,1.31E-05,-57.67
1.592,1.00E-02,1.31E-05,-57.67
1.596,1.00E-02,1.31E-05,-57.67
1.6,1.00E-02,1.31E-05,-57.67
1.603,1.00E-02,1.31E-05,-57.67
1.607,1.00E-02,1.31E-05,-57.67
1.611,1.00E-02,1.31E-05,-57.67
1.614,1.00E-02,1.31E-05,-57.67
1.618,1.00E-02,1.31E-05,-57.67
1.622,1.00E-02,1.31E-05,-57.67
1.626,1.00E-02,1.31E-05,-57.67
1.629,1.00E-02,1.31E-05,-57.67
1.633,1.00E-02,1.31E-05,-57.67
1.637,1.00E-02,1.31E-05,-57.67
1.641,1.00E-02,1.31E-05,-57.67
1.644,1.00E-02,1.31E-05,-57.67
1.648,1.00E-02,1.31E-05,-57.67
1.652,1.00E-02,1.31E-05,-57.67
1.656,1.00E-02,1.31E-05,-57.67
1.66,1.00E-02,1.31E-05,-57.67
1.663,1.00E-02,1.31E-05,-57.67
1.667,1.00E-02,1.31E-05,-57.67
1.671,1.00E-02,1.31E-05,-57.67
1.675,1.00E-02,1.31E-05,-57.67
1.679,1.00E-02,1.31E-05,-57.67
1.683,1.00E-02,1.31E-05,-57.67
1.687,1.00E-02,1.31E-05,-57.67
1.69,1.00E-02,1.31E-05,-57.67
1.694,1.00E-02,1.31E-05,-57.67
1.698,1.00E-02,1.31E-05,-57.67
1.702,1.00E-02,1.31E-05,-57.67
1.706,1.00E-02,1.31E-05,-57.67
1.71,1.00E-02,1.31E-05,-57.67
1.714,1.00E-02,1.31E-05,-57.67
1.718,1.00E-02,1.31E-05,-57.67
1.722,1.00E-02,1.31E-05,-57.67
1.726,1.00E-02,1.31E-05,-57.67
1.73,1.00E-02,1.31E-05,-57.67
1.734,1.00E-02,1.31E-05,-57.67
1.738,1.00E-02,1.31E-05,-57.67
1.742,1.00E-02,1.31E-05,-57.67
1.746,1.00E-02,1.31E-05,-57.67
1.75,1.00E-02,1.31E-05,-57.67
1.754,1.00E-02,1.31E-05,-57.67
1.758,1.00E-02,1.31E-05,-57.67
1.762,1.00E-02,1.31E-05,-57.67
1.766,1.00E-02,1.31E-05,-57.67
1.77,1.00E-02,1.31E-05,-57.67
1.774,1.00E-02,1.31E-05,-57.67
1.778,1.00E-02,1.31E-05,-57.67
1.782,1.00E-02,1.31E-05,-57.67
1.786,1.00E-02,1.31E-05,-57.67
1.791,1.00E-02,1.31E-05,-57.67
1.795,1.00E-02,1.31E-05,-57.67
1.799,1.00E-02,1.31E-05,-57.67
1.803,1.00E-02,1.31E-05,-57.67
1.807,1.00E-02,1.31E-05,-57.67
1.811,1.00E-02,1.31E-05,-57.67
1.816,1.00E-02,1.31E-05,-57.67
1.82,1.00E-02,1.31E-05,-57.67
1.824,1.00E-02,1.31E-05,-57.67
1.828,1.00E-02,1.31E-05,-57.67
1.832,1.00E-02,1.31E-05,-57.67
1.837,1.00E-02,1.31E-05,-57.67
1.841,1.00E-02,1.31E-05,-57.67
1.845,1.00E-02,1.31E-05,-57.67
1.849,1.00E-02,1.31E-05,-57.67
1.854,1.00E-02,1.31E-05,-57.67
1.858,1.00E-02,1.31E-05,-57.67
1.862,1.00E-02,1.31E-05,-57.67
1.866,1.00E-02,1.31E-05,-57.67
1.871,1.00E-02,1.31E-05,-57.67
1.875,1.00E-02,1.31E-05,-57.67
1.879,1.00E-02,1.31E-05,-57.67
1.884,1.00E-02,1.31E-05,-57.67
1.888,1.00E-02,1.31E-05,-57.67
1.892,1.00E-02,1.31E-05,-57.67
1.897,1.00E-02,1.31E-05,-57.67
1.901,1.00E-02,1.31E-05,-57.67
1.905,1.00E-02,1.31E-05,-57.67
1.91,1.00E-02,1.31E-05,-57.67
1.914,1.00E-02,1.31E-05,-57.67
1.919,1.00E-02,1.31E-05,-57.67
1.923,1.00E-02,1.31E-05,-57.67
1.928,1.00E-02,1.31E-05,-57.67
1.932,1.00E-02,1.31E-05,-57.67
1.936,1.00E-02,1.31E-05,-57.67
1.941,1.00E-02,1.31E-05,-57.67
1.945,1.00E-02,1.31E-05,-57.67
1.95,1.00E-02,1.31E-05,-57.67
1.954,1.00E-02,1.31E-05,-57.67
1.959,1.00E-02,1.31E-05,-57.67
1.963,1.00E-02,1.31E-05,-57.67
1.968,1.00E-02,1.31E-05,-57.67
1.972,1.00E-02,1.31E-05,-57.67
1.977,1.00E-02,1.31E-05,-57.67
1.982,1.00E-02,1.31E-05,-57.67
1.986,1.00E-02,1.31E-05,-57.67
1.991,1.00E-02,1.31E-05,-57.67
1.995,1.00E-02,1.31E-05,-57.67
2,1.00E-02,1.31E-05,-57.67
2.004,1.00E-02,1.31E-05,-57.67
2.009,1.00E-02,1.31E-05,-57.67
2.014,1.00E-02,1.31E-05,-57.67
2.018,1.00E-02,1.31E-05,-57.67
2.023,1.00E-02,1.31E-05,-57.67
2.028,1.00E-02,1.31E-05,-57.67
2.032,1.00E-02,1.31E-05,-57.67
2.037,1.00E-02,1.31E-05,-57.67
2.042,1.00E-02,1.31E-05,-57.67
2.046,1.00E-02,1.31E-05,-57.67
2.051,1.00E-02,1.31E-05,-57.67
2.056,1.00E-02,1.31E-05,-57.67
2.061,1.00E-02,1.31E-05,-57.67
2.065,1.00E-02,1.31E-05,-57.67
2.07,1.00E-02,1.31E-05,-57.67
2.075,1.00E-02,1.31E-05,-57.67
2.08,1.00E-02,1.31E-05,-57.67
2.084,1.00E-02,1.31E-05,-57.67
2.089,1.00E-02,1.31E-05,-57.67
2.094,1.00E-02,1.31E-05,-57.67
2.099,1.00E-02,1.31E-05,-57.67
2.104,1.00E-02,1.31E-05,-57.67
2.109,1.00E-02,1.31E-05,-57.67
2.113,1.00E-02,1.31E-05,-57.67
2.118,1.00E-02,1.31E-05,-57.67
2.123,1.00E-02,1.31E-05,-57.67
2.128,1.00E-02,1.31E-05,-57.67
2.133,1.00E-02,1.31E-05,-57.67
2.138,1.00E-02,1.31E-05,-57.67
2.143,1.00E-02,1.31E-05,-57.67
2.148,1.00E-02,1.31E-05,-57.67
2.153,1.00E-02,1.31E-05,-57.67
2.158,1.00E-02,1.31E-05,-57.67
2.163,1.00E-02,1.31E-05,-57.67
2.168,1.00E-02,1.31E-05,-57.67
2.173,1.00E-02,1.31E-05,-57.67
2.178,1.00E-02,1.31E-05,-57.67
2.183,1.00E-02,1.31E-05,-57.67
2.188,1.00E-02,1.31E-05,-57.67
2.193,1.00E-02,1.31E-05,-57.67
2.198,1.00E-02,1.31E-05,-57.67
2.203,1.00E-02,1.31E-05,-57.67
2.208,1.00E-02,1.31E-05,-57.67
2.213,1.00E-02,1.31E-05,-57.67
2.218,1.00E-02,1.31E-05,-57.67
2.223,1.00E-02,1.31E-05,-57.67
2.228,1.00E-02,1.31E-05,-57.67
2.234,1.00E-02,1.31E-05,-57.67
2.239,1.00E-02,1.31E-05,-57.67
2.244,1.00E-02,1.31E-05,-57.67
2.249,1.00E-02,1.31E-05,-57.67
2.254,1.00E-02,1.31E-05,-57.67
2.259,1.00E-02,1.31E-05,-57.67
2.265,1.00E-02,1.31E-05,-57.67
2.27,1.00E-02,1.31E-05,-57.67
2.275,1.00E-02,1.31E-05,-57.67
2.28,1.00E-02,1.31E-05,-57.67
2.286,1.00E-02,1.31E-05,-57.67
2.291,1.00E-02,1.31E-05,-57.67
2.296,1.00E-02,1.31E-05,-57.67
2.301,1.00E-02,1.31E-05,-57.67
2.307,1.00E-02,1.31E-05,-57.67
2.312,1.00E-02,1.31E-05,-57.67
2.317,1.00E-02,1.31E-05,-57.67
2.323,1.00E-02,1.31E-05,-57.67
2.328,1.00E-02,1.31E-05,-57.67
2.333,1.00E-02,1.31E-05,-57.67
2.339,1.00E-02,1.31E-05,-57.67
2.344,1.00E-02,1.31E-05,-57.67
2.35,1.00E-02,1.31E-05,-57.67
2.355,1.00E-02,1.31E-05,-57.67
2.36,1.00E-02,1.31E-05,-57.67
2.366,1.00E-02,1.31E-05,-57.67
2.371,1.00E-02,1.31E-05,-57.67
2.377,1.00E-02,1.31E-05,-57.67
2.382,1.00E-02,1.31E-05,-57.67
2.388,1.00E-02,1.31E-05,-57.67
2.393,1.00E-02,1.31E-05,-57.67
2.399,1.00E-02,1.31E-05,-57.67
2.404,1.00E-02,1.31E-05,-57.67
2.41,1.00E-02,1.31E-05,-57.67
2.415,1.00E-02,1.31E-05,-57.67
2.421,1.00E-02,1.31E-05,-57.67
2.427,1.00E-02,1.31E-05,-57.67
2.432,1.00E-02,1.31E-05,-57.67
2.438,1.00E-02,1.31E-05,-57.67
2.443,1.00E-02,1.31E-05,-57.67
2.449,1.00E-02,1.31E-05,-57.67
2.455,1.00E-02,1.31E-05,-57.67
2.46,1.00E-02,1.31E-05,-57.67
2.466,1.00E-02,1.31E-05,-57.67
2.472,1.00E-02,1.31E-05,-57.67
2.477,1.00E-02,1.31E-05,-57.67
2.483,1.00E-02,1.31E-05,-57.67
2.489,1.00E-02,1.31E-05,-57.67
2.495,1.00E-02,1.31E-05,-57.67
2.5,1.00E-02,1.31E-05,-57.67
2.506,1.00E-02,1.31E-05,-57.67
2.512,1.00E-02,1.31E-05,-57.67
2.518,1.00E-02,1.31E-05,-57.67
2.523,1.00E-02,1.31E-05,-57.67
2.529,1.00E-02,1.31E-05,-57.67
2.535,1.00E-02,1.31E-05,-57.67
2.541,1.00E-02,1.31E-05,-57.67
2.547,1.00E-02,1.31E-05,-57.67
2.553,1.00E-02,1.31E-05,-57.67
2.559,1.00E-02,1.31E-05,-57.67
2.564,1.00E-02,1.31E-05,-57.67
2.57,1.00E-02,1.31E-05,-57.67
2.576,1.00E-02,1.31E-05,-57.67
2.582,1.00E-02,1.31E-05,-57.67
2.588,1.00E-02,1.31E-05,-57.67
2.594,1.00E-02,1.31E-05,-57.67
2.6,1.00E-02,1.31E-05,-57.67
2.606,1.00E-02,1.31E-05,-57.67
2.612,1.00E-02,1.31E-05,-57.67
2.618,1.00E-02,1.31E-05,-57.67
2.624,1.00E-02,1.31E-05,-57.67
2.63,1.00E-02,1.31E-05,-57.67
2.636,1.00E-02,1.31E-05,-57.67
2.642,1.00E-02,1.31E-05,-57.67
2.649,1.00E-02,1.31E-05,-57.67
2.655,1.00E-02,1.31E-05,-57.67
2.661,1.00E-02,1.31E-05,-57.67
2.667,1.00E-02,1.31E-05,-57.67
2.673,1.00E-02,1.31E-05,-57.67
2.679,1.00E-02,1.31E-05,-57.67
2.685,1.00E-02,1.31E-05,-57.67
2.692,1.00E-02,1.31E-05,-57.67
2.698,1.00E-02,1.31E-05,-57.67
2.704,1.00E-02,1.31E-05,-57.67
2.71,1.00E-02,1.31E-05,-57.67
2.716,1.00E-02,1.31E-05,-57.67
2.723,1.00E-02,1.31E-05,-57.67
2.729,1.00E-02,1.31E-05,-57.67
2.735,1.00E-02,1.31E-05,-57.67
2.742,1.00E-02,1.31E-05,-57.67
2.748,1.00E-02,1.31E-05,-57.67
2.754,1.00E-02,1.31E-05,-57.67
2.761,1.00E-02,1.31E-05,-57.67
2.767,1.00E-02,1.31E-05,-57.67
2.773,1.00E-02,1.31E-05,-57.67
2.78,1.00E-02,1.31E-05,-57.67
2.786,1.00E-02,1.31E-05,-57.67
2.793,1.00E-02,1.31E-05,-57.67
2.799,1.00E-02,1.31E-05,-57.67
2.805,1.00E-02,1.31E-05,-57.67
2.812,1.00E-02,1.31E-05,-57.67
2.818,1.00E-02,1.31E-05,-57.67
2.825,1.00E-02,1.31E-05,-57.67
2.831,1.00E-02,1.31E-05,-57.67
2.838,1.00E-02,1.31E-05,-57.67
2.844,1.00E-02,1.31E-05,-57.67
