freq (Hz),Vline (V),Vout (V),"dB20((VF(""/Vout"") / VF(""/Vline""))) (dB)"
383.7,1.00E-02,1.31E-05,-57.67
384.6,1.00E-02,1.31E-05,-57.67
385.5,1.00E-02,1.31E-05,-57.67
386.4,1.00E-02,1.31E-05,-57.67
387.3,1.00E-02,1.31E-05,-57.67
388.2,1.00E-02,1.31E-05,-57.67
389,1.00E-02,1.31E-05,-57.67
389.9,1.00E-02,1.31E-05,-57.67
390.8,1.00E-02,1.31E-05,-57.67
391.7,1.00E-02,1.31E-05,-57.67
392.6,1.00E-02,1.31E-05,-57.67
393.6,1.00E-02,1.31E-05,-57.67
394.5,1.00E-02,1.31E-05,-57.67
395.4,1.00E-02,1.31E-05,-57.67
396.3,1.00E-02,1.31E-05,-57.67
397.2,1.00E-02,1.31E-05,-57.67
398.1,1.00E-02,1.31E-05,-57.67
399,1.00E-02,1.31E-05,-57.67
399.9,1.00E-02,1.31E-05,-57.67
400.9,1.00E-02,1.31E-05,-57.67
401.8,1.00E-02,1.31E-05,-57.67
402.7,1.00E-02,1.31E-05,-57.67
403.6,1.00E-02,1.31E-05,-57.67
404.6,1.00E-02,1.31E-05,-57.67
405.5,1.00E-02,1.31E-05,-57.67
406.4,1.00E-02,1.31E-05,-57.67
407.4,1.00E-02,1.31E-05,-57.67
408.3,1.00E-02,1.31E-05,-57.67
409.3,1.00E-02,1.31E-05,-57.67
410.2,1.00E-02,1.31E-05,-57.67
411.1,1.00E-02,1.31E-05,-57.67
412.1,1.00E-02,1.31E-05,-57.67
413,1.00E-02,1.31E-05,-57.67
414,1.00E-02,1.31E-05,-57.67
415,1.00E-02,1.31E-05,-57.67
415.9,1.00E-02,1.31E-05,-57.67
416.9,1.00E-02,1.31E-05,-57.67
417.8,1.00E-02,1.31E-05,-57.67
418.8,1.00E-02,1.31E-05,-57.67
419.8,1.00E-02,1.31E-05,-57.67
420.7,1.00E-02,1.31E-05,-57.67
421.7,1.00E-02,1.31E-05,-57.67
422.7,1.00E-02,1.31E-05,-57.67
423.6,1.00E-02,1.31E-05,-57.67
424.6,1.00E-02,1.31E-05,-57.67
425.6,1.00E-02,1.31E-05,-57.67
426.6,1.00E-02,1.31E-05,-57.67
427.6,1.00E-02,1.31E-05,-57.67
428.5,1.00E-02,1.31E-05,-57.67
429.5,1.00E-02,1.31E-05,-57.67
430.5,1.00E-02,1.31E-05,-57.67
431.5,1.00E-02,1.31E-05,-57.67
432.5,1.00E-02,1.31E-05,-57.67
433.5,1.00E-02,1.31E-05,-57.67
434.5,1.00E-02,1.31E-05,-57.67
435.5,1.00E-02,1.31E-05,-57.67
436.5,1.00E-02,1.31E-05,-57.67
437.5,1.00E-02,1.31E-05,-57.67
438.5,1.00E-02,1.31E-05,-57.67
439.5,1.00E-02,1.31E-05,-57.67
440.6,1.00E-02,1.31E-05,-57.67
441.6,1.00E-02,1.31E-05,-57.67
442.6,1.00E-02,1.31E-05,-57.67
443.6,1.00E-02,1.31E-05,-57.67
444.6,1.00E-02,1.31E-05,-57.67
445.7,1.00E-02,1.31E-05,-57.67
446.7,1.00E-02,1.31E-05,-57.67
447.7,1.00E-02,1.31E-05,-57.67
448.7,1.00E-02,1.31E-05,-57.67
449.8,1.00E-02,1.31E-05,-57.67
450.8,1.00E-02,1.31E-05,-57.67
451.9,1.00E-02,1.31E-05,-57.67
452.9,1.00E-02,1.31E-05,-57.67
453.9,1.00E-02,1.31E-05,-57.67
455,1.00E-02,1.31E-05,-57.67
456,1.00E-02,1.31E-05,-57.67
457.1,1.00E-02,1.31E-05,-57.67
458.1,1.00E-02,1.31E-05,-57.67
459.2,1.00E-02,1.31E-05,-57.67
460.3,1.00E-02,1.31E-05,-57.67
461.3,1.00E-02,1.31E-05,-57.67
462.4,1.00E-02,1.31E-05,-57.67
463.4,1.00E-02,1.31E-05,-57.67
464.5,1.00E-02,1.31E-05,-57.67
465.6,1.00E-02,1.31E-05,-57.67
466.7,1.00E-02,1.31E-05,-57.67
467.7,1.00E-02,1.31E-05,-57.67
468.8,1.00E-02,1.31E-05,-57.67
469.9,1.00E-02,1.31E-05,-57.67
471,1.00E-02,1.31E-05,-57.67
472.1,1.00E-02,1.31E-05,-57.67
473.2,1.00E-02,1.31E-05,-57.67
474.2,1.00E-02,1.31E-05,-57.67
475.3,1.00E-02,1.31E-05,-57.67
476.4,1.00E-02,1.31E-05,-57.67
477.5,1.00E-02,1.31E-05,-57.67
478.6,1.00E-02,1.31E-05,-57.67
479.7,1.00E-02,1.31E-05,-57.67
480.8,1.00E-02,1.31E-05,-57.67
481.9,1.00E-02,1.31E-05,-57.67
483.1,1.00E-02,1.31E-05,-57.67
484.2,1.00E-02,1.31E-05,-57.67
485.3,1.00E-02,1.31E-05,-57.67
486.4,1.00E-02,1.31E-05,-57.67
487.5,1.00E-02,1.31E-05,-57.67
488.7,1.00E-02,1.31E-05,-57.67
489.8,1.00E-02,1.31E-05,-57.67
490.9,1.00E-02,1.31E-05,-57.67
492,1.00E-02,1.31E-05,-57.67
493.2,1.00E-02,1.31E-05,-57.67
494.3,1.00E-02,1.31E-05,-57.67
495.5,1.00E-02,1.31E-05,-57.67
496.6,1.00E-02,1.31E-05,-57.67
497.7,1.00E-02,1.31E-05,-57.67
498.9,1.00E-02,1.31E-05,-57.67
500,1.00E-02,1.31E-05,-57.67
501.2,1.00E-02,1.31E-05,-57.67
502.3,1.00E-02,1.31E-05,-57.67
503.5,1.00E-02,1.31E-05,-57.67
504.7,1.00E-02,1.31E-05,-57.67
505.8,1.00E-02,1.31E-05,-57.67
507,1.00E-02,1.31E-05,-57.67
508.2,1.00E-02,1.31E-05,-57.67
509.3,1.00E-02,1.31E-05,-57.67
510.5,1.00E-02,1.31E-05,-57.67
511.7,1.00E-02,1.31E-05,-57.67
512.9,1.00E-02,1.31E-05,-57.67
514,1.00E-02,1.31E-05,-57.67
515.2,1.00E-02,1.31E-05,-57.67
516.4,1.00E-02,1.31E-05,-57.67
517.6,1.00E-02,1.31E-05,-57.67
518.8,1.00E-02,1.31E-05,-57.67
520,1.00E-02,1.31E-05,-57.67
521.2,1.00E-02,1.31E-05,-57.67
522.4,1.00E-02,1.31E-05,-57.67
523.6,1.00E-02,1.31E-05,-57.67
524.8,1.00E-02,1.31E-05,-57.67
526,1.00E-02,1.31E-05,-57.67
527.2,1.00E-02,1.31E-05,-57.67
528.4,1.00E-02,1.31E-05,-57.67
529.7,1.00E-02,1.31E-05,-57.67
530.9,1.00E-02,1.31E-05,-57.67
532.1,1.00E-02,1.31E-05,-57.67
533.3,1.00E-02,1.31E-05,-57.67
534.6,1.00E-02,1.31E-05,-57.67
535.8,1.00E-02,1.31E-05,-57.67
537,1.00E-02,1.31E-05,-57.67
538.3,1.00E-02,1.31E-05,-57.67
539.5,1.00E-02,1.31E-05,-57.67
540.8,1.00E-02,1.31E-05,-57.67
542,1.00E-02,1.31E-05,-57.67
543.3,1.00E-02,1.31E-05,-57.67
544.5,1.00E-02,1.31E-05,-57.67
545.8,1.00E-02,1.31E-05,-57.67
547,1.00E-02,1.31E-05,-57.67
548.3,1.00E-02,1.31E-05,-57.67
549.5,1.00E-02,1.31E-05,-57.67
550.8,1.00E-02,1.31E-05,-57.67
552.1,1.00E-02,1.31E-05,-57.67
553.4,1.00E-02,1.31E-05,-57.67
554.6,1.00E-02,1.31E-05,-57.67
555.9,1.00E-02,1.31E-05,-57.67
557.2,1.00E-02,1.31E-05,-57.67
558.5,1.00E-02,1.31E-05,-57.67
559.8,1.00E-02,1.31E-05,-57.67
561,1.00E-02,1.31E-05,-57.67
562.3,1.00E-02,1.31E-05,-57.67
563.6,1.00E-02,1.31E-05,-57.67
564.9,1.00E-02,1.31E-05,-57.67
566.2,1.00E-02,1.31E-05,-57.67
567.5,1.00E-02,1.31E-05,-57.67
568.9,1.00E-02,1.31E-05,-57.67
570.2,1.00E-02,1.31E-05,-57.67
571.5,1.00E-02,1.31E-05,-57.67
572.8,1.00E-02,1.31E-05,-57.67
574.1,1.00E-02,1.31E-05,-57.67
575.4,1.00E-02,1.31E-05,-57.67
576.8,1.00E-02,1.31E-05,-57.67
578.1,1.00E-02,1.31E-05,-57.67
579.4,1.00E-02,1.31E-05,-57.67
580.8,1.00E-02,1.31E-05,-57.67
582.1,1.00E-02,1.31E-05,-57.67
583.4,1.00E-02,1.31E-05,-57.67
584.8,1.00E-02,1.31E-05,-57.67
586.1,1.00E-02,1.31E-05,-57.67
587.5,1.00E-02,1.31E-05,-57.67
588.8,1.00E-02,1.31E-05,-57.67
590.2,1.00E-02,1.31E-05,-57.67
591.6,1.00E-02,1.31E-05,-57.67
592.9,1.00E-02,1.31E-05,-57.67
594.3,1.00E-02,1.31E-05,-57.67
595.7,1.00E-02,1.31E-05,-57.67
597,1.00E-02,1.31E-05,-57.67
598.4,1.00E-02,1.31E-05,-57.67
599.8,1.00E-02,1.31E-05,-57.67
601.2,1.00E-02,1.31E-05,-57.67
602.6,1.00E-02,1.31E-05,-57.67
603.9,1.00E-02,1.31E-05,-57.67
605.3,1.00E-02,1.31E-05,-57.67
606.7,1.00E-02,1.31E-05,-57.67
608.1,1.00E-02,1.31E-05,-57.67
609.5,1.00E-02,1.31E-05,-57.67
610.9,1.00E-02,1.31E-05,-57.67
612.4,1.00E-02,1.31E-05,-57.67
613.8,1.00E-02,1.31E-05,-57.67
615.2,1.00E-02,1.31E-05,-57.67
616.6,1.00E-02,1.31E-05,-57.67
618,1.00E-02,1.31E-05,-57.67
619.4,1.00E-02,1.31E-05,-57.67
620.9,1.00E-02,1.31E-05,-57.67
622.3,1.00E-02,1.31E-05,-57.67
623.7,1.00E-02,1.31E-05,-57.67
625.2,1.00E-02,1.31E-05,-57.67
626.6,1.00E-02,1.31E-05,-57.67
628.1,1.00E-02,1.31E-05,-57.67
629.5,1.00E-02,1.31E-05,-57.67
631,1.00E-02,1.31E-05,-57.67
632.4,1.00E-02,1.31E-05,-57.67
633.9,1.00E-02,1.31E-05,-57.67
635.3,1.00E-02,1.31E-05,-57.67
636.8,1.00E-02,1.31E-05,-57.67
638.3,1.00E-02,1.31E-05,-57.67
639.7,1.00E-02,1.31E-05,-57.67
641.2,1.00E-02,1.31E-05,-57.67
642.7,1.00E-02,1.31E-05,-57.67
644.2,1.00E-02,1.31E-05,-57.67
645.7,1.00E-02,1.31E-05,-57.67
647.1,1.00E-02,1.31E-05,-57.67
648.6,1.00E-02,1.31E-05,-57.67
650.1,1.00E-02,1.31E-05,-57.67
651.6,1.00E-02,1.31E-05,-57.67
653.1,1.00E-02,1.31E-05,-57.67
654.6,1.00E-02,1.31E-05,-57.67
656.1,1.00E-02,1.31E-05,-57.67
657.7,1.00E-02,1.31E-05,-57.67
659.2,1.00E-02,1.31E-05,-57.67
660.7,1.00E-02,1.31E-05,-57.67
662.2,1.00E-02,1.31E-05,-57.67
663.7,1.00E-02,1.31E-05,-57.67
665.3,1.00E-02,1.31E-05,-57.67
666.8,1.00E-02,1.31E-05,-57.67
668.3,1.00E-02,1.31E-05,-57.67
669.9,1.00E-02,1.31E-05,-57.67
671.4,1.00E-02,1.31E-05,-57.67
673,1.00E-02,1.31E-05,-57.67
674.5,1.00E-02,1.31E-05,-57.67
676.1,1.00E-02,1.31E-05,-57.67
677.6,1.00E-02,1.31E-05,-57.67
679.2,1.00E-02,1.31E-05,-57.67
680.8,1.00E-02,1.31E-05,-57.67
682.3,1.00E-02,1.31E-05,-57.67
683.9,1.00E-02,1.31E-05,-57.67
685.5,1.00E-02,1.31E-05,-57.67
687.1,1.00E-02,1.31E-05,-57.67
688.7,1.00E-02,1.31E-05,-57.67
690.2,1.00E-02,1.31E-05,-57.67
691.8,1.00E-02,1.31E-05,-57.67
693.4,1.00E-02,1.31E-05,-57.67
695,1.00E-02,1.31E-05,-57.67
696.6,1.00E-02,1.31E-05,-57.67
698.2,1.00E-02,1.31E-05,-57.67
699.8,1.00E-02,1.31E-05,-57.67
701.5,1.00E-02,1.31E-05,-57.67
703.1,1.00E-02,1.31E-05,-57.67
704.7,1.00E-02,1.31E-05,-57.67
706.3,1.00E-02,1.31E-05,-57.67
707.9,1.00E-02,1.31E-05,-57.67
709.6,1.00E-02,1.31E-05,-57.67
711.2,1.00E-02,1.31E-05,-57.67
712.9,1.00E-02,1.31E-05,-57.67
714.5,1.00E-02,1.31E-05,-57.67
716.1,1.00E-02,1.31E-05,-57.67
717.8,1.00E-02,1.31E-05,-57.67
719.4,1.00E-02,1.31E-05,-57.67
721.1,1.00E-02,1.31E-05,-57.67
722.8,1.00E-02,1.31E-05,-57.67
724.4,1.00E-02,1.31E-05,-57.67
726.1,1.00E-02,1.31E-05,-57.67
727.8,1.00E-02,1.31E-05,-57.67
729.5,1.00E-02,1.31E-05,-57.67
731.1,1.00E-02,1.31E-05,-57.67
732.8,1.00E-02,1.31E-05,-57.67
734.5,1.00E-02,1.31E-05,-57.67
736.2,1.00E-02,1.31E-05,-57.67
737.9,1.00E-02,1.31E-05,-57.67
739.6,1.00E-02,1.31E-05,-57.67
741.3,1.00E-02,1.31E-05,-57.67
743,1.00E-02,1.31E-05,-57.67
744.7,1.00E-02,1.31E-05,-57.67
746.4,1.00E-02,1.31E-05,-57.67
748.2,1.00E-02,1.31E-05,-57.67
749.9,1.00E-02,1.31E-05,-57.67
751.6,1.00E-02,1.31E-05,-57.67
753.4,1.00E-02,1.31E-05,-57.67
755.1,1.00E-02,1.31E-05,-57.67
756.8,1.00E-02,1.31E-05,-57.67
758.6,1.00E-02,1.31E-05,-57.67
760.3,1.00E-02,1.31E-05,-57.67
762.1,1.00E-02,1.31E-05,-57.67
763.8,1.00E-02,1.31E-05,-57.67
765.6,1.00E-02,1.31E-05,-57.67
767.4,1.00E-02,1.31E-05,-57.67
769.1,1.00E-02,1.31E-05,-57.67
770.9,1.00E-02,1.31E-05,-57.67
772.7,1.00E-02,1.31E-05,-57.67
774.5,1.00E-02,1.31E-05,-57.67
776.2,1.00E-02,1.31E-05,-57.67
778,1.00E-02,1.31E-05,-57.67
779.8,1.00E-02,1.31E-05,-57.67
781.6,1.00E-02,1.31E-05,-57.67
783.4,1.00E-02,1.31E-05,-57.67
785.2,1.00E-02,1.31E-05,-57.67
787,1.00E-02,1.31E-05,-57.67
788.9,1.00E-02,1.31E-05,-57.67
790.7,1.00E-02,1.31E-05,-57.67
792.5,1.00E-02,1.31E-05,-57.67
794.3,1.00E-02,1.31E-05,-57.67
796.2,1.00E-02,1.31E-05,-57.67
798,1.00E-02,1.31E-05,-57.67
799.8,1.00E-02,1.31E-05,-57.67
801.7,1.00E-02,1.31E-05,-57.67
803.5,1.00E-02,1.31E-05,-57.67
805.4,1.00E-02,1.31E-05,-57.67
807.2,1.00E-02,1.31E-05,-57.67
809.1,1.00E-02,1.31E-05,-57.67
811,1.00E-02,1.31E-05,-57.67
812.8,1.00E-02,1.31E-05,-57.67
814.7,1.00E-02,1.31E-05,-57.67
816.6,1.00E-02,1.31E-05,-57.67
818.5,1.00E-02,1.31E-05,-57.67
820.4,1.00E-02,1.31E-05,-57.67
822.2,1.00E-02,1.31E-05,-57.67
824.1,1.00E-02,1.31E-05,-57.67
826,1.00E-02,1.31E-05,-57.67
827.9,1.00E-02,1.31E-05,-57.67
829.9,1.00E-02,1.31E-05,-57.67
831.8,1.00E-02,1.31E-05,-57.67
833.7,1.00E-02,1.31E-05,-57.67
835.6,1.00E-02,1.31E-05,-57.67
837.5,1.00E-02,1.31E-05,-57.67
839.5,1.00E-02,1.31E-05,-57.67
841.4,1.00E-02,1.31E-05,-57.67
843.3,1.00E-02,1.31E-05,-57.67
845.3,1.00E-02,1.31E-05,-57.67
847.2,1.00E-02,1.31E-05,-57.67
849.2,1.00E-02,1.31E-05,-57.67
851.1,1.00E-02,1.31E-05,-57.67
853.1,1.00E-02,1.31E-05,-57.67
855.1,1.00E-02,1.31E-05,-57.67
857,1.00E-02,1.31E-05,-57.67
859,1.00E-02,1.31E-05,-57.67
861,1.00E-02,1.31E-05,-57.67
863,1.00E-02,1.31E-05,-57.67
865,1.00E-02,1.31E-05,-57.67
867,1.00E-02,1.31E-05,-57.67
869,1.00E-02,1.31E-05,-57.67
871,1.00E-02,1.31E-05,-57.67
873,1.00E-02,1.31E-05,-57.67
875,1.00E-02,1.31E-05,-57.67
877,1.00E-02,1.31E-05,-57.67
879,1.00E-02,1.31E-05,-57.67
881,1.00E-02,1.31E-05,-57.67
883.1,1.00E-02,1.31E-05,-57.67
885.1,1.00E-02,1.31E-05,-57.67
887.2,1.00E-02,1.31E-05,-57.67
889.2,1.00E-02,1.31E-05,-57.67
891.3,1.00E-02,1.31E-05,-57.67
893.3,1.00E-02,1.31E-05,-57.67
895.4,1.00E-02,1.31E-05,-57.67
897.4,1.00E-02,1.31E-05,-57.67
899.5,1.00E-02,1.31E-05,-57.67
901.6,1.00E-02,1.31E-05,-57.67
903.6,1.00E-02,1.31E-05,-57.67
905.7,1.00E-02,1.31E-05,-57.67
907.8,1.00E-02,1.31E-05,-57.67
909.9,1.00E-02,1.31E-05,-57.67
912,1.00E-02,1.31E-05,-57.67
914.1,1.00E-02,1.31E-05,-57.67
916.2,1.00E-02,1.31E-05,-57.67
918.3,1.00E-02,1.31E-05,-57.67
920.4,1.00E-02,1.31E-05,-57.67
922.6,1.00E-02,1.31E-05,-57.67
924.7,1.00E-02,1.31E-05,-57.67
926.8,1.00E-02,1.31E-05,-57.67
929,1.00E-02,1.31E-05,-57.67
931.1,1.00E-02,1.31E-05,-57.67
933.3,1.00E-02,1.31E-05,-57.67
935.4,1.00E-02,1.31E-05,-57.67
937.6,1.00E-02,1.31E-05,-57.67
939.7,1.00E-02,1.31E-05,-57.67
941.9,1.00E-02,1.31E-05,-57.67
944.1,1.00E-02,1.31E-05,-57.67
946.2,1.00E-02,1.31E-05,-57.67
948.4,1.00E-02,1.31E-05,-57.67
950.6,1.00E-02,1.31E-05,-57.67
952.8,1.00E-02,1.31E-05,-57.67
955,1.00E-02,1.31E-05,-57.67
957.2,1.00E-02,1.31E-05,-57.67
959.4,1.00E-02,1.31E-05,-57.67
961.6,1.00E-02,1.31E-05,-57.67
963.8,1.00E-02,1.31E-05,-57.67
966.1,1.00E-02,1.31E-05,-57.67
968.3,1.00E-02,1.31E-05,-57.67
970.5,1.00E-02,1.31E-05,-57.67
972.7,1.00E-02,1.31E-05,-57.67
975,1.00E-02,1.31E-05,-57.67
977.2,1.00E-02,1.31E-05,-57.67
979.5,1.00E-02,1.31E-05,-57.67
981.7,1.00E-02,1.31E-05,-57.67
984,1.00E-02,1.31E-05,-57.67
986.3,1.00E-02,1.31E-05,-57.67
988.6,1.00E-02,1.31E-05,-57.67
990.8,1.00E-02,1.31E-05,-57.67
993.1,1.00E-02,1.31E-05,-57.67
995.4,1.00E-02,1.31E-05,-57.67
997.7,1.00E-02,1.31E-05,-57.67
1.00E+03,1.00E-02,1.31E-05,-57.67
1.00E+03,1.00E-02,1.31E-05,-57.67
1.01E+03,1.00E-02,1.31E-05,-57.67
1.01E+03,1.00E-02,1.31E-05,-57.67
1.01E+03,1.00E-02,1.31E-05,-57.67
1.01E+03,1.00E-02,1.31E-05,-57.67
1.01E+03,1.00E-02,1.31E-05,-57.67
1.02E+03,1.00E-02,1.31E-05,-57.67
1.02E+03,1.00E-02,1.31E-05,-57.67
1.02E+03,1.00E-02,1.31E-05,-57.67
1.02E+03,1.00E-02,1.31E-05,-57.67
1.03E+03,1.00E-02,1.31E-05,-57.67
1.03E+03,1.00E-02,1.31E-05,-57.67
1.03E+03,1.00E-02,1.31E-05,-57.67
1.03E+03,1.00E-02,1.31E-05,-57.67
1.04E+03,1.00E-02,1.31E-05,-57.67
1.04E+03,1.00E-02,1.31E-05,-57.67
1.04E+03,1.00E-02,1.31E-05,-57.67
1.04E+03,1.00E-02,1.31E-05,-57.67
1.05E+03,1.00E-02,1.31E-05,-57.67
1.05E+03,1.00E-02,1.31E-05,-57.67
1.05E+03,1.00E-02,1.31E-05,-57.67
1.05E+03,1.00E-02,1.31E-05,-57.67
1.05E+03,1.00E-02,1.31E-05,-57.67
1.06E+03,1.00E-02,1.31E-05,-57.67
1.06E+03,1.00E-02,1.31E-05,-57.67
1.06E+03,1.00E-02,1.31E-05,-57.67
1.06E+03,1.00E-02,1.31E-05,-57.67
1.07E+03,1.00E-02,1.31E-05,-57.67
1.07E+03,1.00E-02,1.31E-05,-57.67
1.07E+03,1.00E-02,1.31E-05,-57.67
1.07E+03,1.00E-02,1.31E-05,-57.67
1.08E+03,1.00E-02,1.31E-05,-57.67
1.08E+03,1.00E-02,1.31E-05,-57.67
1.08E+03,1.00E-02,1.31E-05,-57.67
1.08E+03,1.00E-02,1.31E-05,-57.67
1.09E+03,1.00E-02,1.31E-05,-57.67
1.09E+03,1.00E-02,1.31E-05,-57.67
1.09E+03,1.00E-02,1.31E-05,-57.67
1.09E+03,1.00E-02,1.31E-05,-57.67
1.10E+03,1.00E-02,1.31E-05,-57.67
1.10E+03,1.00E-02,1.31E-05,-57.67
1.10E+03,1.00E-02,1.31E-05,-57.67
1.10E+03,1.00E-02,1.31E-05,-57.67
1.11E+03,1.00E-02,1.31E-05,-57.67
1.11E+03,1.00E-02,1.31E-05,-57.67
1.11E+03,1.00E-02,1.31E-05,-57.67
1.11E+03,1.00E-02,1.31E-05,-57.67
1.12E+03,1.00E-02,1.31E-05,-57.67
1.12E+03,1.00E-02,1.31E-05,-57.67
1.12E+03,1.00E-02,1.31E-05,-57.67
1.13E+03,1.00E-02,1.31E-05,-57.67
1.13E+03,1.00E-02,1.31E-05,-57.67
1.13E+03,1.00E-02,1.31E-05,-57.67
1.13E+03,1.00E-02,1.31E-05,-57.67
1.14E+03,1.00E-02,1.31E-05,-57.67
1.14E+03,1.00E-02,1.31E-05,-57.67
1.14E+03,1.00E-02,1.31E-05,-57.67
1.14E+03,1.00E-02,1.31E-05,-57.67
1.15E+03,1.00E-02,1.31E-05,-57.67
1.15E+03,1.00E-02,1.31E-05,-57.67
1.15E+03,1.00E-02,1.31E-05,-57.67
1.15E+03,1.00E-02,1.31E-05,-57.67
1.16E+03,1.00E-02,1.31E-05,-57.67
1.16E+03,1.00E-02,1.31E-05,-57.67
1.16E+03,1.00E-02,1.31E-05,-57.67
1.16E+03,1.00E-02,1.31E-05,-57.67
1.17E+03,1.00E-02,1.31E-05,-57.67
1.17E+03,1.00E-02,1.31E-05,-57.67
1.17E+03,1.00E-02,1.31E-05,-57.67
1.18E+03,1.00E-02,1.31E-05,-57.67
1.18E+03,1.00E-02,1.31E-05,-57.67
1.18E+03,1.00E-02,1.31E-05,-57.67
1.18E+03,1.00E-02,1.31E-05,-57.67
1.19E+03,1.00E-02,1.31E-05,-57.67
1.19E+03,1.00E-02,1.31E-05,-57.67
1.19E+03,1.00E-02,1.31E-05,-57.67
1.19E+03,1.00E-02,1.31E-05,-57.67
1.20E+03,1.00E-02,1.31E-05,-57.67
1.20E+03,1.00E-02,1.31E-05,-57.67
1.20E+03,1.00E-02,1.31E-05,-57.67
1.21E+03,1.00E-02,1.31E-05,-57.67
1.21E+03,1.00E-02,1.31E-05,-57.67
1.21E+03,1.00E-02,1.31E-05,-57.67
1.21E+03,1.00E-02,1.31E-05,-57.67
1.22E+03,1.00E-02,1.31E-05,-57.67
1.22E+03,1.00E-02,1.31E-05,-57.67
1.22E+03,1.00E-02,1.31E-05,-57.67
1.23E+03,1.00E-02,1.31E-05,-57.67
1.23E+03,1.00E-02,1.31E-05,-57.67
1.23E+03,1.00E-02,1.31E-05,-57.67
1.23E+03,1.00E-02,1.31E-05,-57.67
1.24E+03,1.00E-02,1.31E-05,-57.67
1.24E+03,1.00E-02,1.31E-05,-57.67
1.24E+03,1.00E-02,1.31E-05,-57.67
1.25E+03,1.00E-02,1.31E-05,-57.67
1.25E+03,1.00E-02,1.31E-05,-57.67
1.25E+03,1.00E-02,1.31E-05,-57.67
1.25E+03,1.00E-02,1.31E-05,-57.67
1.26E+03,1.00E-02,1.31E-05,-57.67
1.26E+03,1.00E-02,1.31E-05,-57.67
1.26E+03,1.00E-02,1.31E-05,-57.67
1.27E+03,1.00E-02,1.31E-05,-57.67
1.27E+03,1.00E-02,1.31E-05,-57.67
1.27E+03,1.00E-02,1.31E-05,-57.67
1.27E+03,1.00E-02,1.31E-05,-57.67
1.28E+03,1.00E-02,1.31E-05,-57.67
1.28E+03,1.00E-02,1.31E-05,-57.67
1.28E+03,1.00E-02,1.31E-05,-57.67
1.29E+03,1.00E-02,1.31E-05,-57.67
1.29E+03,1.00E-02,1.31E-05,-57.67
1.29E+03,1.00E-02,1.31E-05,-57.67
1.29E+03,1.00E-02,1.31E-05,-57.67
1.30E+03,1.00E-02,1.31E-05,-57.67
1.30E+03,1.00E-02,1.31E-05,-57.67
1.30E+03,1.00E-02,1.31E-05,-57.67
1.31E+03,1.00E-02,1.31E-05,-57.67
1.31E+03,1.00E-02,1.31E-05,-57.67
1.31E+03,1.00E-02,1.31E-05,-57.67
1.32E+03,1.00E-02,1.31E-05,-57.67
1.32E+03,1.00E-02,1.31E-05,-57.67
1.32E+03,1.00E-02,1.31E-05,-57.67
1.32E+03,1.00E-02,1.31E-05,-57.67
1.33E+03,1.00E-02,1.31E-05,-57.67
1.33E+03,1.00E-02,1.31E-05,-57.67
1.33E+03,1.00E-02,1.31E-05,-57.67
1.34E+03,1.00E-02,1.31E-05,-57.67
1.34E+03,1.00E-02,1.31E-05,-57.67
1.34E+03,1.00E-02,1.31E-05,-57.67
1.35E+03,1.00E-02,1.31E-05,-57.67
1.35E+03,1.00E-02,1.31E-05,-57.67
1.35E+03,1.00E-02,1.31E-05,-57.67
1.36E+03,1.00E-02,1.31E-05,-57.67
1.36E+03,1.00E-02,1.31E-05,-57.67
1.36E+03,1.00E-02,1.31E-05,-57.67
1.37E+03,1.00E-02,1.31E-05,-57.67
1.37E+03,1.00E-02,1.31E-05,-57.67
1.37E+03,1.00E-02,1.31E-05,-57.67
1.37E+03,1.00E-02,1.31E-05,-57.67
1.38E+03,1.00E-02,1.31E-05,-57.67
1.38E+03,1.00E-02,1.31E-05,-57.67
1.38E+03,1.00E-02,1.31E-05,-57.67
1.39E+03,1.00E-02,1.31E-05,-57.67
1.39E+03,1.00E-02,1.31E-05,-57.67
1.39E+03,1.00E-02,1.31E-05,-57.67
1.40E+03,1.00E-02,1.31E-05,-57.67
1.40E+03,1.00E-02,1.31E-05,-57.67
1.40E+03,1.00E-02,1.31E-05,-57.67
1.41E+03,1.00E-02,1.31E-05,-57.67
1.41E+03,1.00E-02,1.31E-05,-57.67
1.41E+03,1.00E-02,1.31E-05,-57.67
1.42E+03,1.00E-02,1.31E-05,-57.67
1.42E+03,1.00E-02,1.31E-05,-57.67
1.42E+03,1.00E-02,1.31E-05,-57.67
1.43E+03,1.00E-02,1.31E-05,-57.67
1.43E+03,1.00E-02,1.31E-05,-57.67
1.43E+03,1.00E-02,1.31E-05,-57.67
1.44E+03,1.00E-02,1.31E-05,-57.67
1.44E+03,1.00E-02,1.31E-05,-57.67
1.44E+03,1.00E-02,1.31E-05,-57.67
1.45E+03,1.00E-02,1.31E-05,-57.67
1.45E+03,1.00E-02,1.31E-05,-57.67
1.45E+03,1.00E-02,1.31E-05,-57.67
1.46E+03,1.00E-02,1.31E-05,-57.67
1.46E+03,1.00E-02,1.31E-05,-57.67
1.46E+03,1.00E-02,1.31E-05,-57.67
1.47E+03,1.00E-02,1.31E-05,-57.67
1.47E+03,1.00E-02,1.31E-05,-57.67
1.47E+03,1.00E-02,1.31E-05,-57.67
1.48E+03,1.00E-02,1.31E-05,-57.67
1.48E+03,1.00E-02,1.31E-05,-57.67
1.48E+03,1.00E-02,1.31E-05,-57.67
