time (s),/Vline (V),/Vout (V)
146.7E-3,1.391,998.8E-3
147.5E-3,1.390,998.9E-3
148.3E-3,1.391,998.9E-3
149.2E-3,1.395,998.9E-3
150.0E-3,1.400,998.9E-3
150.8E-3,1.405,998.9E-3
151.7E-3,1.409,998.9E-3
152.5E-3,1.410,998.9E-3
153.3E-3,1.409,998.9E-3
154.2E-3,1.405,998.9E-3
155.0E-3,1.400,998.9E-3
155.8E-3,1.395,998.9E-3
156.7E-3,1.391,998.8E-3
157.5E-3,1.390,998.9E-3
158.3E-3,1.391,998.8E-3
159.2E-3,1.395,998.9E-3
160.0E-3,1.400,998.9E-3
160.8E-3,1.405,998.9E-3
161.7E-3,1.409,998.9E-3
162.5E-3,1.410,998.9E-3
163.3E-3,1.409,998.9E-3
164.2E-3,1.405,998.9E-3
165.0E-3,1.400,998.9E-3
165.8E-3,1.395,998.9E-3
166.7E-3,1.391,998.8E-3
167.5E-3,1.390,998.9E-3
168.3E-3,1.391,998.9E-3
169.2E-3,1.395,998.9E-3
170.0E-3,1.400,998.9E-3
170.8E-3,1.405,998.9E-3
171.7E-3,1.409,998.9E-3
172.5E-3,1.410,998.9E-3
173.3E-3,1.409,998.9E-3
174.2E-3,1.405,998.9E-3
175.0E-3,1.400,998.9E-3
175.8E-3,1.395,998.9E-3
176.7E-3,1.391,998.9E-3
177.5E-3,1.390,998.9E-3
178.3E-3,1.391,998.9E-3
179.2E-3,1.395,998.9E-3
180.0E-3,1.400,998.9E-3
180.8E-3,1.405,998.9E-3
181.7E-3,1.409,998.9E-3
182.5E-3,1.410,998.9E-3
183.3E-3,1.409,998.9E-3
184.2E-3,1.405,998.9E-3
185.0E-3,1.400,998.9E-3
185.8E-3,1.395,998.9E-3
186.7E-3,1.391,998.9E-3
187.5E-3,1.390,998.9E-3
188.3E-3,1.391,998.9E-3
189.2E-3,1.395,998.9E-3
190.0E-3,1.400,998.9E-3
190.8E-3,1.405,998.9E-3
191.7E-3,1.409,998.9E-3
192.5E-3,1.410,998.9E-3
193.3E-3,1.409,998.9E-3
194.2E-3,1.405,998.9E-3
195.0E-3,1.400,998.9E-3
195.8E-3,1.395,998.9E-3
196.7E-3,1.391,998.9E-3
197.5E-3,1.390,998.9E-3
198.3E-3,1.391,998.9E-3
199.2E-3,1.395,998.9E-3
200.0E-3,1.400,998.9E-3
200.8E-3,1.405,998.9E-3
201.7E-3,1.409,998.9E-3
202.5E-3,1.410,998.9E-3
203.3E-3,1.409,998.9E-3
204.2E-3,1.405,998.9E-3
205.0E-3,1.400,998.9E-3
205.8E-3,1.395,998.9E-3
206.7E-3,1.391,998.9E-3
207.5E-3,1.390,998.9E-3
208.3E-3,1.391,998.9E-3
209.2E-3,1.395,998.9E-3
210.0E-3,1.400,998.9E-3
210.8E-3,1.405,998.9E-3
211.7E-3,1.409,998.9E-3
212.5E-3,1.410,998.9E-3
213.3E-3,1.409,998.9E-3
214.2E-3,1.405,998.9E-3
215.0E-3,1.400,998.9E-3
215.8E-3,1.395,998.9E-3
216.7E-3,1.391,998.9E-3
217.5E-3,1.390,998.9E-3
218.3E-3,1.391,998.9E-3
219.2E-3,1.395,998.9E-3
220.0E-3,1.400,998.9E-3
220.8E-3,1.405,998.9E-3
221.7E-3,1.409,998.9E-3
222.5E-3,1.410,998.9E-3
223.3E-3,1.409,998.9E-3
224.2E-3,1.405,998.9E-3
225.0E-3,1.400,998.9E-3
225.8E-3,1.395,998.9E-3
226.7E-3,1.391,998.9E-3
227.5E-3,1.390,998.9E-3
228.3E-3,1.391,998.8E-3
229.2E-3,1.395,998.9E-3
230.0E-3,1.400,998.9E-3
230.8E-3,1.405,998.9E-3
231.7E-3,1.409,998.9E-3
232.5E-3,1.410,998.9E-3
233.3E-3,1.409,998.9E-3
234.2E-3,1.405,998.9E-3
235.0E-3,1.400,998.9E-3
235.8E-3,1.395,998.9E-3
236.7E-3,1.391,998.8E-3
237.5E-3,1.390,998.9E-3
238.3E-3,1.391,998.8E-3
239.2E-3,1.395,998.9E-3
240.0E-3,1.400,998.9E-3
240.8E-3,1.405,998.9E-3
241.7E-3,1.409,998.9E-3
242.5E-3,1.410,998.9E-3
243.3E-3,1.409,998.9E-3
244.2E-3,1.405,998.9E-3
245.0E-3,1.400,998.9E-3
245.8E-3,1.395,998.9E-3
246.7E-3,1.391,998.8E-3
247.5E-3,1.390,998.9E-3
248.3E-3,1.391,998.8E-3
249.2E-3,1.395,998.9E-3
250.0E-3,1.400,998.9E-3
250.8E-3,1.405,998.9E-3
251.7E-3,1.409,998.9E-3
252.5E-3,1.410,998.9E-3
253.3E-3,1.409,998.9E-3
254.2E-3,1.405,998.9E-3
255.0E-3,1.400,998.9E-3
255.8E-3,1.395,998.9E-3
256.7E-3,1.391,998.8E-3
257.5E-3,1.390,998.9E-3
258.3E-3,1.391,998.8E-3
259.2E-3,1.395,998.9E-3
260.0E-3,1.400,998.9E-3
260.8E-3,1.405,998.9E-3
261.7E-3,1.409,998.9E-3
262.5E-3,1.410,998.9E-3
263.3E-3,1.409,998.9E-3
264.2E-3,1.405,998.9E-3
265.0E-3,1.400,998.9E-3
265.8E-3,1.395,998.9E-3
266.7E-3,1.391,998.8E-3
267.5E-3,1.390,998.9E-3
268.3E-3,1.391,998.8E-3
269.2E-3,1.395,998.9E-3
270.0E-3,1.400,998.9E-3
270.8E-3,1.405,998.9E-3
271.7E-3,1.409,998.9E-3
272.5E-3,1.410,998.9E-3
273.3E-3,1.409,998.9E-3
274.2E-3,1.405,998.9E-3
275.0E-3,1.400,998.9E-3
275.8E-3,1.395,998.9E-3
276.7E-3,1.391,998.8E-3
277.5E-3,1.390,998.9E-3
278.3E-3,1.391,998.8E-3
279.2E-3,1.395,998.9E-3
280.0E-3,1.400,998.8E-3
280.8E-3,1.405,998.9E-3
281.7E-3,1.409,998.9E-3
282.5E-3,1.410,998.9E-3
283.3E-3,1.409,998.9E-3
284.2E-3,1.405,998.9E-3
285.0E-3,1.400,998.9E-3
285.8E-3,1.395,998.9E-3
286.7E-3,1.391,998.8E-3
287.5E-3,1.390,998.9E-3
288.3E-3,1.391,998.8E-3
289.2E-3,1.395,998.9E-3
290.0E-3,1.400,998.8E-3
290.8E-3,1.405,998.9E-3
291.7E-3,1.409,998.9E-3
292.5E-3,1.410,998.9E-3
293.3E-3,1.409,998.9E-3
294.2E-3,1.405,998.9E-3
295.0E-3,1.400,998.8E-3
295.8E-3,1.395,998.9E-3
296.7E-3,1.391,998.8E-3
297.5E-3,1.390,998.9E-3
298.3E-3,1.391,998.8E-3
299.2E-3,1.395,998.9E-3
300.0E-3,1.400,998.8E-3
300.8E-3,1.405,999.0E-3
301.7E-3,1.409,998.9E-3
302.5E-3,1.410,999.0E-3
303.3E-3,1.409,998.9E-3
304.2E-3,1.405,998.9E-3
305.0E-3,1.400,998.8E-3
305.8E-3,1.395,998.9E-3
306.7E-3,1.391,998.8E-3
307.5E-3,1.390,998.9E-3
308.3E-3,1.391,998.8E-3
309.2E-3,1.395,998.9E-3
310.0E-3,1.400,998.8E-3
310.8E-3,1.405,999.0E-3
311.7E-3,1.409,998.9E-3
312.5E-3,1.410,999.0E-3
313.3E-3,1.409,998.9E-3
314.2E-3,1.405,998.9E-3
315.0E-3,1.400,998.8E-3
315.8E-3,1.395,998.9E-3
316.7E-3,1.391,998.8E-3
317.5E-3,1.390,998.9E-3
318.3E-3,1.391,998.8E-3
319.2E-3,1.395,998.9E-3
320.0E-3,1.400,998.8E-3
320.8E-3,1.405,999.0E-3
321.7E-3,1.409,998.9E-3
322.5E-3,1.410,999.0E-3
323.3E-3,1.409,998.9E-3
324.2E-3,1.405,999.0E-3
325.0E-3,1.400,998.8E-3
325.8E-3,1.395,998.9E-3
326.7E-3,1.391,998.8E-3
327.5E-3,1.390,998.9E-3
328.3E-3,1.391,998.8E-3
329.2E-3,1.395,998.9E-3
330.0E-3,1.400,998.8E-3
330.8E-3,1.405,999.0E-3
331.7E-3,1.409,998.8E-3
332.5E-3,1.410,999.0E-3
333.3E-3,1.409,998.8E-3
334.2E-3,1.405,999.0E-3
335.0E-3,1.400,998.8E-3
335.8E-3,1.395,998.9E-3
336.7E-3,1.391,998.8E-3
337.5E-3,1.390,998.9E-3
338.3E-3,1.391,998.8E-3
