freq (Hz),dB20((VF("/Vout") / VF("/Vline"))) (dB),Vout (V),Vline (V)
1.371,-93.14,220.4E-9,10.00E-3
1.374,-93.14,220.4E-9,10.00E-3
1.377,-93.14,220.4E-9,10.00E-3
1.380,-93.14,220.4E-9,10.00E-3
1.384,-93.14,220.4E-9,10.00E-3
1.387,-93.14,220.4E-9,10.00E-3
1.390,-93.14,220.4E-9,10.00E-3
1.393,-93.14,220.4E-9,10.00E-3
1.396,-93.14,220.4E-9,10.00E-3
1.400,-93.14,220.4E-9,10.00E-3
1.403,-93.14,220.4E-9,10.00E-3
1.406,-93.14,220.4E-9,10.00E-3
1.409,-93.14,220.4E-9,10.00E-3
1.413,-93.14,220.4E-9,10.00E-3
1.416,-93.14,220.4E-9,10.00E-3
1.419,-93.14,220.4E-9,10.00E-3
1.422,-93.14,220.4E-9,10.00E-3
1.426,-93.14,220.4E-9,10.00E-3
1.429,-93.14,220.4E-9,10.00E-3
1.432,-93.14,220.4E-9,10.00E-3
1.435,-93.14,220.4E-9,10.00E-3
1.439,-93.14,220.4E-9,10.00E-3
1.442,-93.14,220.4E-9,10.00E-3
1.445,-93.14,220.4E-9,10.00E-3
1.449,-93.14,220.4E-9,10.00E-3
1.452,-93.14,220.4E-9,10.00E-3
1.455,-93.14,220.4E-9,10.00E-3
1.459,-93.14,220.4E-9,10.00E-3
1.462,-93.14,220.4E-9,10.00E-3
1.466,-93.14,220.4E-9,10.00E-3
1.469,-93.14,220.4E-9,10.00E-3
1.472,-93.14,220.4E-9,10.00E-3
1.476,-93.14,220.4E-9,10.00E-3
1.479,-93.14,220.4E-9,10.00E-3
1.483,-93.14,220.4E-9,10.00E-3
1.486,-93.14,220.4E-9,10.00E-3
1.489,-93.14,220.4E-9,10.00E-3
1.493,-93.14,220.4E-9,10.00E-3
1.496,-93.14,220.4E-9,10.00E-3
1.500,-93.14,220.4E-9,10.00E-3
1.503,-93.14,220.4E-9,10.00E-3
1.507,-93.14,220.4E-9,10.00E-3
1.510,-93.14,220.4E-9,10.00E-3
1.514,-93.14,220.4E-9,10.00E-3
1.517,-93.14,220.4E-9,10.00E-3
1.521,-93.14,220.4E-9,10.00E-3
1.524,-93.14,220.4E-9,10.00E-3
1.528,-93.14,220.4E-9,10.00E-3
1.531,-93.14,220.4E-9,10.00E-3
1.535,-93.14,220.4E-9,10.00E-3
1.538,-93.14,220.4E-9,10.00E-3
1.542,-93.14,220.4E-9,10.00E-3
1.545,-93.14,220.4E-9,10.00E-3
1.549,-93.14,220.4E-9,10.00E-3
1.552,-93.14,220.4E-9,10.00E-3
1.556,-93.14,220.4E-9,10.00E-3
1.560,-93.14,220.4E-9,10.00E-3
1.563,-93.14,220.4E-9,10.00E-3
1.567,-93.14,220.4E-9,10.00E-3
1.570,-93.14,220.4E-9,10.00E-3
1.574,-93.14,220.4E-9,10.00E-3
1.578,-93.14,220.4E-9,10.00E-3
1.581,-93.14,220.4E-9,10.00E-3
1.585,-93.14,220.4E-9,10.00E-3
1.589,-93.14,220.4E-9,10.00E-3
1.592,-93.14,220.4E-9,10.00E-3
1.596,-93.14,220.4E-9,10.00E-3
1.600,-93.14,220.4E-9,10.00E-3
1.603,-93.14,220.4E-9,10.00E-3
1.607,-93.14,220.4E-9,10.00E-3
1.611,-93.14,220.4E-9,10.00E-3
1.614,-93.14,220.4E-9,10.00E-3
1.618,-93.14,220.4E-9,10.00E-3
1.622,-93.14,220.4E-9,10.00E-3
1.626,-93.14,220.4E-9,10.00E-3
1.629,-93.14,220.4E-9,10.00E-3
1.633,-93.14,220.4E-9,10.00E-3
1.637,-93.14,220.4E-9,10.00E-3
1.641,-93.14,220.4E-9,10.00E-3
1.644,-93.14,220.4E-9,10.00E-3
1.648,-93.14,220.4E-9,10.00E-3
1.652,-93.14,220.4E-9,10.00E-3
1.656,-93.14,220.4E-9,10.00E-3
1.660,-93.14,220.4E-9,10.00E-3
1.663,-93.14,220.4E-9,10.00E-3
1.667,-93.14,220.4E-9,10.00E-3
1.671,-93.14,220.4E-9,10.00E-3
1.675,-93.14,220.4E-9,10.00E-3
1.679,-93.14,220.4E-9,10.00E-3
1.683,-93.14,220.4E-9,10.00E-3
1.687,-93.14,220.4E-9,10.00E-3
1.690,-93.14,220.4E-9,10.00E-3
1.694,-93.14,220.4E-9,10.00E-3
1.698,-93.14,220.4E-9,10.00E-3
1.702,-93.14,220.4E-9,10.00E-3
1.706,-93.14,220.4E-9,10.00E-3
1.710,-93.14,220.4E-9,10.00E-3
1.714,-93.14,220.4E-9,10.00E-3
1.718,-93.14,220.4E-9,10.00E-3
1.722,-93.14,220.4E-9,10.00E-3
1.726,-93.14,220.4E-9,10.00E-3
1.730,-93.14,220.4E-9,10.00E-3
1.734,-93.14,220.4E-9,10.00E-3
1.738,-93.14,220.4E-9,10.00E-3
1.742,-93.14,220.4E-9,10.00E-3
