freq (Hz),"dB20((VF(""/Vout"") / VF(""/Vline""))) (dB)",Vline (V),Vout (V)
1.368,-27.97,1.00E-02,4.00E-04
1.371,-27.97,1.00E-02,4.00E-04
1.374,-27.97,1.00E-02,4.00E-04
1.377,-27.97,1.00E-02,4.00E-04
1.38,-27.97,1.00E-02,4.00E-04
1.384,-27.97,1.00E-02,4.00E-04
1.387,-27.97,1.00E-02,4.00E-04
1.39,-27.97,1.00E-02,4.00E-04
1.393,-27.97,1.00E-02,4.00E-04
1.396,-27.97,1.00E-02,4.00E-04
1.4,-27.97,1.00E-02,4.00E-04
1.403,-27.97,1.00E-02,4.00E-04
1.406,-27.97,1.00E-02,4.00E-04
1.409,-27.97,1.00E-02,4.00E-04
1.413,-27.97,1.00E-02,4.00E-04
1.416,-27.97,1.00E-02,4.00E-04
1.419,-27.97,1.00E-02,4.00E-04
1.422,-27.97,1.00E-02,4.00E-04
1.426,-27.97,1.00E-02,4.00E-04
1.429,-27.97,1.00E-02,4.00E-04
1.432,-27.97,1.00E-02,4.00E-04
1.435,-27.97,1.00E-02,4.00E-04
1.439,-27.97,1.00E-02,4.00E-04
1.442,-27.97,1.00E-02,4.00E-04
1.445,-27.97,1.00E-02,4.00E-04
1.449,-27.97,1.00E-02,4.00E-04
1.452,-27.97,1.00E-02,4.00E-04
1.455,-27.97,1.00E-02,4.00E-04
1.459,-27.97,1.00E-02,4.00E-04
1.462,-27.97,1.00E-02,4.00E-04
1.466,-27.97,1.00E-02,4.00E-04
1.469,-27.97,1.00E-02,4.00E-04
1.472,-27.97,1.00E-02,4.00E-04
1.476,-27.97,1.00E-02,4.00E-04
1.479,-27.97,1.00E-02,4.00E-04
1.483,-27.97,1.00E-02,4.00E-04
1.486,-27.97,1.00E-02,4.00E-04
1.489,-27.97,1.00E-02,4.00E-04
1.493,-27.97,1.00E-02,4.00E-04
1.496,-27.97,1.00E-02,4.00E-04
1.5,-27.97,1.00E-02,4.00E-04
1.503,-27.97,1.00E-02,4.00E-04
1.507,-27.97,1.00E-02,4.00E-04
1.51,-27.97,1.00E-02,4.00E-04
1.514,-27.97,1.00E-02,4.00E-04
1.517,-27.97,1.00E-02,4.00E-04
1.521,-27.97,1.00E-02,4.00E-04
1.524,-27.97,1.00E-02,4.00E-04
1.528,-27.97,1.00E-02,4.00E-04
1.531,-27.97,1.00E-02,4.00E-04
1.535,-27.97,1.00E-02,4.00E-04
1.538,-27.97,1.00E-02,4.00E-04
1.542,-27.97,1.00E-02,4.00E-04
1.545,-27.97,1.00E-02,4.00E-04
1.549,-27.97,1.00E-02,4.00E-04
1.552,-27.97,1.00E-02,4.00E-04
1.556,-27.97,1.00E-02,4.00E-04
1.56,-27.97,1.00E-02,4.00E-04
1.563,-27.97,1.00E-02,4.00E-04
1.567,-27.97,1.00E-02,4.00E-04
1.57,-27.97,1.00E-02,4.00E-04
1.574,-27.97,1.00E-02,4.00E-04
1.578,-27.97,1.00E-02,4.00E-04
1.581,-27.97,1.00E-02,4.00E-04
1.585,-27.97,1.00E-02,4.00E-04
1.589,-27.97,1.00E-02,4.00E-04
1.592,-27.97,1.00E-02,4.00E-04
1.596,-27.97,1.00E-02,4.00E-04
1.6,-27.97,1.00E-02,4.00E-04
1.603,-27.97,1.00E-02,4.00E-04
1.607,-27.97,1.00E-02,4.00E-04
1.611,-27.97,1.00E-02,4.00E-04
1.614,-27.97,1.00E-02,4.00E-04
1.618,-27.97,1.00E-02,4.00E-04
1.622,-27.97,1.00E-02,4.00E-04
1.626,-27.97,1.00E-02,4.00E-04
1.629,-27.97,1.00E-02,4.00E-04
1.633,-27.97,1.00E-02,4.00E-04
1.637,-27.97,1.00E-02,4.00E-04
1.641,-27.97,1.00E-02,4.00E-04
1.644,-27.97,1.00E-02,4.00E-04
1.648,-27.97,1.00E-02,4.00E-04
1.652,-27.97,1.00E-02,4.00E-04
1.656,-27.97,1.00E-02,4.00E-04
1.66,-27.97,1.00E-02,4.00E-04
1.663,-27.97,1.00E-02,4.00E-04
1.667,-27.97,1.00E-02,4.00E-04
1.671,-27.97,1.00E-02,4.00E-04
1.675,-27.97,1.00E-02,4.00E-04
1.679,-27.97,1.00E-02,4.00E-04
1.683,-27.97,1.00E-02,4.00E-04
1.687,-27.97,1.00E-02,4.00E-04
1.69,-27.97,1.00E-02,4.00E-04
1.694,-27.97,1.00E-02,4.00E-04
1.698,-27.97,1.00E-02,4.00E-04
1.702,-27.97,1.00E-02,4.00E-04
1.706,-27.97,1.00E-02,4.00E-04
1.71,-27.97,1.00E-02,4.00E-04
1.714,-27.97,1.00E-02,4.00E-04
1.718,-27.97,1.00E-02,4.00E-04
1.722,-27.97,1.00E-02,4.00E-04
1.726,-27.97,1.00E-02,4.00E-04
1.73,-27.97,1.00E-02,4.00E-04
1.734,-27.97,1.00E-02,4.00E-04
1.738,-27.97,1.00E-02,4.00E-04
1.742,-27.97,1.00E-02,4.00E-04
1.746,-27.97,1.00E-02,4.00E-04
1.75,-27.97,1.00E-02,4.00E-04
1.754,-27.97,1.00E-02,4.00E-04
1.758,-27.97,1.00E-02,4.00E-04
1.762,-27.97,1.00E-02,4.00E-04
1.766,-27.97,1.00E-02,4.00E-04
1.77,-27.97,1.00E-02,4.00E-04
1.774,-27.97,1.00E-02,4.00E-04
1.778,-27.97,1.00E-02,4.00E-04
1.782,-27.97,1.00E-02,4.00E-04
1.786,-27.97,1.00E-02,4.00E-04
1.791,-27.97,1.00E-02,4.00E-04
1.795,-27.97,1.00E-02,4.00E-04
