bsim3v3 ,waveVsWave(?x ((OP("/PM0" "gm") / OP("/PM0" "ids")) * -1) ?y OP("/PM0" "vgt")) len 1.8e-07  (V),bsim3v3 ,waveVsWave(?x ((OP("/PM0" "gm") / OP("/PM0" "ids")) * -1) ?y OP("/PM0" "vgt")) len 2.7e-07  (V),bsim3v3 ,waveVsWave(?x ((OP("/PM0" "gm") / OP("/PM0" "ids")) * -1) ?y OP("/PM0" "vgt")) len 3.6e-07  (V),bsim3v3 ,waveVsWave(?x ((OP("/PM0" "gm") / OP("/PM0" "ids")) * -1) ?y OP("/PM0" "vgt")) len 4.5e-07  (V),bsim3v3 ,waveVsWave(?x ((OP("/PM0" "gm") / OP("/PM0" "ids")) * -1) ?y OP("/PM0" "vgt")) len 5.4e-07  (V),bsim3v3 ,waveVsWave(?x ((OP("/PM0" "gm") / OP("/PM0" "ids")) * -1) ?y OP("/PM0" "vgt")) len 6.3e-07  (V),bsim3v3 ,waveVsWave(?x ((OP("/PM0" "gm") / OP("/PM0" "ids")) * -1) ?y OP("/PM0" "vgt")) len 7.2e-07  (V),bsim3v3 ,waveVsWave(?x ((OP("/PM0" "gm") / OP("/PM0" "ids")) * -1) ?y OP("/PM0" "vgt")) len 8.1e-07  (V),bsim3v3 ,waveVsWave(?x ((OP("/PM0" "gm") / OP("/PM0" "ids")) * -1) ?y OP("/PM0" "vgt")) len 9e-07  (V),bsim3v3 ,waveVsWave(?x ((OP("/PM0" "gm") / OP("/PM0" "ids")) * -1) ?y OP("/PM0" "vgt")) len 9.9e-07  (V),bsim3v3 ,waveVsWave(?x ((OP("/PM0" "gm") / OP("/PM0" "ids")) * -1) ?y OP("/PM0" "vgt")) len 1.08e-06  (V)
30.72,106.2E-3,26.30,37.70E-3,24.16,-4.294E-3,22.01,-30.68E-3,20.27,-48.74E-3,18.94,-61.93E-3,17.95,-72.03E-3,17.18,-80.01E-3,16.58,-86.50E-3,16.09,-91.87E-3,15.70,-96.39E-3
37.34,156.2E-3,29.01,87.70E-3,26.70,45.71E-3,25.62,19.32E-3,24.65,1.258E-3,23.74,-11.93E-3,22.92,-22.03E-3,22.22,-30.01E-3,21.61,-36.50E-3,21.10,-41.87E-3,20.65,-46.39E-3
43.61,206.2E-3,34.63,137.7E-3,29.69,95.71E-3,27.84,69.32E-3,27.00,51.26E-3,26.49,38.07E-3,26.10,27.97E-3,25.76,19.99E-3,25.45,13.50E-3,25.17,8.133E-3,24.92,3.612E-3
46.89,256.2E-3,41.57,187.7E-3,35.74,145.7E-3,32.17,119.3E-3,30.20,101.3E-3,29.08,88.07E-3,28.38,77.97E-3,27.92,69.99E-3,27.59,63.50E-3,27.35,58.13E-3,27.17,53.61E-3
48.12,306.2E-3,46.03,237.7E-3,42.50,195.7E-3,39.12,169.3E-3,36.51,151.3E-3,34.62,138.1E-3,33.24,128.0E-3,32.24,120.0E-3,31.48,113.5E-3,30.89,108.1E-3,30.44,103.6E-3
48.55,356.2E-3,47.87,287.7E-3,46.48,245.7E-3,44.78,219.3E-3,43.10,201.3E-3,41.59,188.1E-3,40.29,178.0E-3,39.19,170.0E-3,38.27,163.5E-3,37.49,158.1E-3,36.83,153.6E-3
48.72,406.2E-3,48.51,337.7E-3,48.06,295.7E-3,47.45,269.3E-3,46.77,251.3E-3,46.10,238.1E-3,45.45,228.0E-3,44.85,220.0E-3,44.30,213.5E-3,43.80,208.1E-3,43.35,203.6E-3
48.80,456.2E-3,48.74,387.7E-3,48.60,345.7E-3,48.41,319.3E-3,48.19,301.3E-3,47.96,288.1E-3,47.73,278.0E-3,47.51,270.0E-3,47.30,263.5E-3,47.10,258.1E-3,46.91,253.6E-3
48.86,506.2E-3,48.85,437.7E-3,48.81,395.7E-3,48.75,369.3E-3,48.68,351.3E-3,48.61,338.1E-3,48.54,328.0E-3,48.47,320.0E-3,48.40,313.5E-3,48.33,308.1E-3,48.27,303.6E-3
48.92,556.2E-3,48.92,487.7E-3,48.90,445.7E-3,48.89,419.3E-3,48.87,401.3E-3,48.84,388.1E-3,48.82,378.0E-3,48.80,370.0E-3,48.78,363.5E-3,48.76,358.1E-3,48.74,353.6E-3
48.97,606.2E-3,48.97,537.7E-3,48.97,495.7E-3,48.96,469.3E-3,48.96,451.3E-3,48.95,438.1E-3,48.95,428.0E-3,48.94,420.0E-3,48.93,413.5E-3,48.93,408.1E-3,48.92,403.6E-3
49.03,656.2E-3,49.03,587.7E-3,49.03,545.7E-3,49.03,519.3E-3,49.02,501.3E-3,49.02,488.1E-3,49.02,478.0E-3,49.02,470.0E-3,49.02,463.5E-3,49.01,458.1E-3,49.01,453.6E-3
