bsim3v3 ,waveVsWave(?x (OP("/NM0" "gm") / 6.28 / OP("/NM0" "cgg")) ?y (OP("/NM0" "gm") / OP("/NM0" "ids"))) len 1.8e-07 ,bsim3v3 ,waveVsWave(?x (OP("/NM0" "gm") / 6.28 / OP("/NM0" "cgg")) ?y (OP("/NM0" "gm") / OP("/NM0" "ids"))) len 2.7e-07 ,bsim3v3 ,waveVsWave(?x (OP("/NM0" "gm") / 6.28 / OP("/NM0" "cgg")) ?y (OP("/NM0" "gm") / OP("/NM0" "ids"))) len 3.6e-07 ,bsim3v3 ,waveVsWave(?x (OP("/NM0" "gm") / 6.28 / OP("/NM0" "cgg")) ?y (OP("/NM0" "gm") / OP("/NM0" "ids"))) len 4.5e-07 ,bsim3v3 ,waveVsWave(?x (OP("/NM0" "gm") / 6.28 / OP("/NM0" "cgg")) ?y (OP("/NM0" "gm") / OP("/NM0" "ids"))) len 5.4e-07 ,bsim3v3 ,waveVsWave(?x (OP("/NM0" "gm") / 6.28 / OP("/NM0" "cgg")) ?y (OP("/NM0" "gm") / OP("/NM0" "ids"))) len 6.3e-07 ,bsim3v3 ,waveVsWave(?x (OP("/NM0" "gm") / 6.28 / OP("/NM0" "cgg")) ?y (OP("/NM0" "gm") / OP("/NM0" "ids"))) len 7.2e-07 ,bsim3v3 ,waveVsWave(?x (OP("/NM0" "gm") / 6.28 / OP("/NM0" "cgg")) ?y (OP("/NM0" "gm") / OP("/NM0" "ids"))) len 8.1e-07 ,bsim3v3 ,waveVsWave(?x (OP("/NM0" "gm") / 6.28 / OP("/NM0" "cgg")) ?y (OP("/NM0" "gm") / OP("/NM0" "ids"))) len 9e-07 ,bsim3v3 ,waveVsWave(?x (OP("/NM0" "gm") / 6.28 / OP("/NM0" "cgg")) ?y (OP("/NM0" "gm") / OP("/NM0" "ids"))) len 9.9e-07 ,bsim3v3 ,waveVsWave(?x (OP("/NM0" "gm") / 6.28 / OP("/NM0" "cgg")) ?y (OP("/NM0" "gm") / OP("/NM0" "ids"))) len 1.08e-06 
34.22E9,3.609,17.84E9,3.507,11.20E9,3.465,7.728E9,3.444,5.663E9,3.430,4.331E9,3.419,3.420E9,3.410,2.769E9,3.401,2.288E9,3.392,1.922E9,3.384,1.638E9,3.376
35.95E9,3.201,18.91E9,3.149,11.88E9,3.120,8.182E9,3.099,5.978E9,3.081,4.557E9,3.063,3.586E9,3.047,2.895E9,3.032,2.385E9,3.018,1.999E9,3.006,1.699E9,2.994
37.46E9,2.867,19.81E9,2.841,12.41E9,2.811,8.499E9,2.782,6.176E9,2.755,4.685E9,2.730,3.672E9,2.708,2.955E9,2.689,2.428E9,2.672,2.030E9,2.657,1.722E9,2.644
38.73E9,2.587,20.49E9,2.569,12.75E9,2.531,8.671E9,2.492,6.264E9,2.458,4.731E9,2.429,3.697E9,2.406,2.967E9,2.386,2.434E9,2.370,2.032E9,2.356,1.722E9,2.344
39.76E9,2.349,20.95E9,2.327,12.92E9,2.277,8.725E9,2.233,6.275E9,2.198,4.726E9,2.170,3.686E9,2.148,2.954E9,2.130,2.420E9,2.116,2.019E9,2.103,1.710E9,2.093
40.54E9,2.142,21.20E9,2.109,12.95E9,2.053,8.703E9,2.009,6.241E9,1.976,4.691E9,1.951,3.654E9,1.932,2.925E9,1.916,2.395E9,1.903,1.996E9,1.893,1.690E9,1.884
41.06E9,1.959,21.25E9,1.915,12.90E9,1.858,8.634E9,1.817,6.179E9,1.788,4.639E9,1.766,3.609E9,1.749,2.887E9,1.736,2.362E9,1.725,1.968E9,1.716,1.665E9,1.708
41.34E9,1.797,21.18E9,1.745,12.78E9,1.691,8.537E9,1.654,6.100E9,1.628,4.574E9,1.609,3.556E9,1.594,2.843E9,1.583,2.324E9,1.573,1.936E9,1.565,1.637E9,1.559
41.40E9,1.653,21.01E9,1.596,12.63E9,1.546,8.419E9,1.513,6.008E9,1.491,4.500E9,1.474,3.496E9,1.461,2.794E9,1.451,2.283E9,1.443,1.901E9,1.436,1.607E9,1.430
41.27E9,1.524,20.78E9,1.466,12.45E9,1.421,8.287E9,1.392,5.906E9,1.372,4.421E9,1.358,3.432E9,1.346,2.742E9,1.337,2.240E9,1.330,1.864E9,1.324,1.576E9,1.319
