bsim3v3 (V),waveVsWave(?x OP("/NM0" "vgt") ?y (OP("/NM0" "gm") / OP("/NM0" "ids"))) len 1.8e-07 ,bsim3v3 (V),waveVsWave(?x OP("/NM0" "vgt") ?y (OP("/NM0" "gm") / OP("/NM0" "ids"))) len 2.7e-07 ,bsim3v3 (V),waveVsWave(?x OP("/NM0" "vgt") ?y (OP("/NM0" "gm") / OP("/NM0" "ids"))) len 3.6e-07 ,bsim3v3 (V),waveVsWave(?x OP("/NM0" "vgt") ?y (OP("/NM0" "gm") / OP("/NM0" "ids"))) len 4.5e-07 ,bsim3v3 (V),waveVsWave(?x OP("/NM0" "vgt") ?y (OP("/NM0" "gm") / OP("/NM0" "ids"))) len 5.4e-07 ,bsim3v3 (V),waveVsWave(?x OP("/NM0" "vgt") ?y (OP("/NM0" "gm") / OP("/NM0" "ids"))) len 6.3e-07 ,bsim3v3 (V),waveVsWave(?x OP("/NM0" "vgt") ?y (OP("/NM0" "gm") / OP("/NM0" "ids"))) len 7.2e-07 ,bsim3v3 (V),waveVsWave(?x OP("/NM0" "vgt") ?y (OP("/NM0" "gm") / OP("/NM0" "ids"))) len 8.1e-07 ,bsim3v3 (V),waveVsWave(?x OP("/NM0" "vgt") ?y (OP("/NM0" "gm") / OP("/NM0" "ids"))) len 9e-07 ,bsim3v3 (V),waveVsWave(?x OP("/NM0" "vgt") ?y (OP("/NM0" "gm") / OP("/NM0" "ids"))) len 9.9e-07 ,bsim3v3 (V),waveVsWave(?x OP("/NM0" "vgt") ?y (OP("/NM0" "gm") / OP("/NM0" "ids"))) len 1.08e-06 
410.5E-3,4.123,446.5E-3,3.935,470.0E-3,3.866,485.1E-3,3.832,495.5E-3,3.814,503.2E-3,3.803,509.1E-3,3.794,513.8E-3,3.788,517.7E-3,3.782,520.9E-3,3.777,523.6E-3,3.773
460.5E-3,3.609,496.5E-3,3.507,520.0E-3,3.465,535.1E-3,3.444,545.5E-3,3.430,553.2E-3,3.419,559.1E-3,3.410,563.8E-3,3.401,567.7E-3,3.392,570.9E-3,3.384,573.6E-3,3.376
510.5E-3,3.201,546.5E-3,3.149,570.0E-3,3.120,585.1E-3,3.099,595.5E-3,3.081,603.2E-3,3.063,609.1E-3,3.047,613.8E-3,3.032,617.7E-3,3.018,620.9E-3,3.006,623.6E-3,2.994
560.5E-3,2.867,596.5E-3,2.841,620.0E-3,2.811,635.1E-3,2.782,645.5E-3,2.755,653.2E-3,2.730,659.1E-3,2.708,663.8E-3,2.689,667.7E-3,2.672,670.9E-3,2.657,673.6E-3,2.644
610.5E-3,2.587,646.5E-3,2.569,670.0E-3,2.531,685.1E-3,2.492,695.5E-3,2.458,703.2E-3,2.429,709.1E-3,2.406,713.8E-3,2.386,717.7E-3,2.370,720.9E-3,2.356,723.6E-3,2.344
660.5E-3,2.349,696.5E-3,2.327,720.0E-3,2.277,735.1E-3,2.233,745.5E-3,2.198,753.2E-3,2.170,759.1E-3,2.148,763.8E-3,2.130,767.7E-3,2.116,770.9E-3,2.103,773.6E-3,2.093
710.5E-3,2.142,746.5E-3,2.109,770.0E-3,2.053,785.1E-3,2.009,795.5E-3,1.976,803.2E-3,1.951,809.1E-3,1.932,813.8E-3,1.916,817.7E-3,1.903,820.9E-3,1.893,823.6E-3,1.884
760.5E-3,1.959,796.5E-3,1.915,820.0E-3,1.858,835.1E-3,1.817,845.5E-3,1.788,853.2E-3,1.766,859.1E-3,1.749,863.8E-3,1.736,867.7E-3,1.725,870.9E-3,1.716,873.6E-3,1.708
810.5E-3,1.797,846.5E-3,1.745,870.0E-3,1.691,885.1E-3,1.654,895.5E-3,1.628,903.2E-3,1.609,909.1E-3,1.594,913.8E-3,1.583,917.7E-3,1.573,920.9E-3,1.565,923.6E-3,1.559
860.5E-3,1.653,896.5E-3,1.596,920.0E-3,1.546,935.1E-3,1.513,945.5E-3,1.491,953.2E-3,1.474,959.1E-3,1.461,963.8E-3,1.451,967.7E-3,1.443,970.9E-3,1.436,973.6E-3,1.430
910.5E-3,1.524,946.5E-3,1.466,970.0E-3,1.421,985.1E-3,1.392,995.5E-3,1.372,1.003,1.358,1.009,1.346,1.014,1.337,1.018,1.330,1.021,1.324,1.024,1.319
